factor,ic_mean,ic_std,t_stat,icir,n_days,significant
开盘,-0.01496920853806314,0.22845195708118382,-2.7907606909259983,-0.06552453622773566,1814,True
收盘,-0.015259594303972833,0.2282306982504567,-2.8476562952762903,-0.06686039354454938,1814,True
最高,-0.015264792969695276,0.2286025530459301,-2.8439927409709944,-0.06677437660387074,1814,True
最低,-0.014950143998546932,0.22801983473544826,-2.7924884825029777,-0.06556510321083381,1814,True
成交量,0.0007362086839456223,0.16822956510274736,0.1863877024797319,0.0043762146296697476,1814,False
成交额,-0.016164357313667402,0.16363764269862843,-4.207206887158793,-0.0987814114594483,1814,True
振幅,-0.027133892831427604,0.18537485454792318,-6.2341884106741805,-0.14637310382575613,1814,True
涨跌额,-0.009141304173619549,0.17433417412595076,-2.233285636962914,-0.05243552630716714,1814,True
换手率,-0.04151927902042255,0.20703709389534392,-8.5412273445757,-0.20054029082059233,1814,True
涨跌幅,-0.0075752957366664415,0.17645513092901913,-1.82845359353723,-0.042930436178212815,1814,False
KMID,-0.009006861764697833,0.17424686982321047,-2.201542904349108,-0.05169023566297704,1814,True
KLEN,-0.027037055495335777,0.18548738690268377,-6.208170714256699,-0.1457622318520278,1814,True
KMID2,-0.005167549157990834,0.16408630559965912,-1.341315431474201,-0.03149287284582249,1814,False
KUP,-0.012314497215142078,0.135631287258294,-3.8670113130708246,-0.09079392715406846,1814,True
KUP2,-0.00107691936988688,0.11591176472118522,-0.39570752751912797,-0.009290854750398354,1814,False
KLOW,-0.020195368708761464,0.13634631820325477,-6.308513152256959,-0.1481181815166856,1814,True
KLOW2,-0.003456640791068215,0.11866445600059777,-1.2406584544986323,-0.029129538090587142,1814,False
KSFT,-0.007918938187197756,0.17239795334072427,-1.9563812355422887,-0.04593406147662847,1814,False
KSFT2,-0.0049635587641003375,0.1518259747158536,-1.3924055039560774,-0.03269242152661803,1814,False
OPEN0,0.008999979452943596,0.17427111413410423,2.19955462318657,0.051643552620074355,1814,True
HIGH0,-0.01020096054533769,0.17718236907191606,-2.452105802030752,-0.057573225816826334,1814,True
LOW0,0.01970155132220234,0.1602456144353813,5.236401191641352,0.12294596261882067,1814,True
VWAP0,0.01265145086425977,0.16722071438571304,3.222321730064633,0.07565719899436503,1814,True
ROC5,0.013477143055523009,0.1820304860638393,3.1490024096307807,0.07403783479870776,1809,True
ROC10,0.013113149263015367,0.18924153564881108,2.94312567708367,0.06929318776693065,1804,True
ROC20,0.019013160588074687,0.19496420619085683,4.130576309570767,0.09752128844338782,1794,True
ROC30,0.02391430978104638,0.20454603047283043,4.938149342100212,0.1169140741854821,1784,True
ROC60,0.01755736788939598,0.20655924626357605,3.5598324990844294,0.08499918646581539,1754,True
MA5,0.015196494643809013,0.17828379448591772,3.626359368209541,0.08523766665180191,1810,True
MA10,0.01300138301449886,0.18492165516785158,2.987035497358611,0.07030752024524997,1805,True
MA20,0.015574014588796228,0.1917527534144739,3.441051677322238,0.0812192488059505,1795,True
MA30,0.01952860612095244,0.19685795096041842,4.1911904508972695,0.09920151066125336,1785,True
MA60,0.024881601899909057,0.20628917623582751,5.052897121562355,0.12061515952472797,1755,True
STD5,-0.025310335690038405,0.178716455275918,-6.025216417004847,-0.1416228609221356,1810,True
STD10,-0.027557805402513038,0.18644189480035772,-6.2797119653689855,-0.14780908245983007,1805,True
STD20,-0.02073011007828903,0.1968441414303034,-4.4618127588969125,-0.10531230407804106,1795,True
STD30,-0.019031963960593715,0.20208712128074224,-3.9789096663829255,-0.09417702543327462,1785,True
STD60,-0.014228564295984228,0.20699429526460833,-2.8796603363391724,-0.06873891996779591,1755,True
BETA5,-0.015152213486671985,0.18007630280842907,-3.57980032094434,-0.08414329509414348,1810,True
BETA10,-0.00930851542753981,0.19090021159088805,-2.071632025707942,-0.04876115825103737,1805,True
BETA20,-0.014561875922730227,0.19339937227577925,-3.190027981835635,-0.07529432878388878,1795,True
BETA30,-0.021083528652315234,0.19916520971305499,-4.472485392309466,-0.10585949565534607,1785,True
BETA60,-0.016989879861819216,0.20918383987966982,-3.4025203979673777,-0.08121984887356698,1755,True
RSQR5,,,,,17,False
RSQR10,,,,,16,False
RSQR20,,,,,16,False
RSQR30,,,,,16,False
RSQR60,,,,,16,False
RESI5,-0.005731951910276657,0.16994998801686917,-1.434896866702014,-0.03372728634560248,1810,False
RESI10,-0.01374319313995664,0.16987163689728133,-3.437204576072048,-0.08090340089126787,1805,True
RESI20,-0.007292410109784205,0.17115877341220503,-1.8051119672031193,-0.042606113402213694,1795,False
RESI30,-0.00100955223686661,0.1670627529530359,-0.2553102623828671,-0.006042952238135402,1785,False
RESI60,-0.011005736234312504,0.17452238489434838,-2.6418400607013885,-0.06306203207671675,1755,True
MAX5,-0.012657334045721003,0.1905954716928791,-2.825328505570991,-0.0664094164110925,1810,True
MAX10,-0.014787247058150727,0.1973895049267225,-3.1827452176512168,-0.07491404907084721,1805,True
MAX20,-0.01070552247264148,0.20337632845178288,-2.2301788413589896,-0.052638979935069385,1795,True
MAX30,-0.005227983403777572,0.20781323063511953,-1.0628699205006105,-0.02515712492318122,1785,False
MAX60,0.0010531853202169592,0.2118589500461476,0.20825552971276096,0.0049711627476089724,1755,False
MIN5,0.022241142740997415,0.16759214763551164,5.646023981246476,0.13270993333988798,1810,True
MIN10,0.02090614317916407,0.16955903688129476,5.238314659954984,0.1232971333388741,1805,True
MIN20,0.01918855441850635,0.17395453434249325,4.67346216292415,0.1103078714851241,1795,True
MIN30,0.02271837715633973,0.17931814632307624,5.3526910179270955,0.1266931296256442,1785,True
MIN60,0.03072487542801829,0.18308116761638063,7.030480655838205,0.1678210589764082,1755,True
QTLU5,0.0072985619724050405,0.18092330530437262,1.7162560220398366,0.04034064025154998,1810,False
QTLU10,0.005928457998343914,0.1888011659557659,1.3340609702269963,0.03140053700586197,1805,False
QTLU20,0.010808250908629686,0.19620601502271168,2.3338628297161033,0.055086236308191594,1795,True
QTLU30,0.014678314368905057,0.20005783568518795,3.0998432184664675,0.07337035472083647,1785,True
QTLU60,0.018751772922400777,0.20589780664459048,3.8153042414868885,0.0910732038771499,1755,True
QTLD5,0.02008277976331123,0.16951827606308276,5.040186258294085,0.11846970267582141,1810,True
QTLD10,0.019777624192653248,0.17399272733937396,4.829271563731483,0.11366925787695058,1805,True
QTLD20,0.01921919467610136,0.17968958975402582,4.531526198700107,0.10695775254654544,1795,True
QTLD30,0.02231457591975126,0.1863293384807816,5.059720252795358,0.11975878893625136,1785,True
