Epoch,Train Loss,Train FS,Train Ratio,Eval Loss,Eval FS,Hit Rate,Spearman,Win Rate,FS Std,Max Loss,Counter,Eff Patience,lr,早停状态
1,1.0551,-0.0112,-0.0656,1.0417,0.0527,0.0222,0.1000,0.7222,0.1360,-0.1233,0,0,1.00e-05,warm-up
2,1.0496,0.0159,-0.0305,1.0343,0.0126,0.0000,0.1116,0.5000,0.1188,-0.1735,0,0,9.84e-06,warm-up
3,1.0489,0.0212,-0.0224,1.0300,0.0141,0.0000,0.1176,0.6111,0.0837,-0.1933,0,0,9.68e-06,warm-up
4,1.0441,0.0318,-0.0081,1.0271,0.0252,0.0000,0.1222,0.7222,0.0686,-0.1065,0,0,9.52e-06,warm-up
5,1.0426,0.0204,-0.0181,1.0232,0.0372,0.0000,0.1267,0.6667,0.0931,-0.1036,0,0,9.36e-06,warm-up
6,1.0412,0.0217,-0.0190,1.0233,0.0264,0.0000,0.1235,0.6667,0.0819,-0.1036,0,0,9.20e-06,warm-up
7,1.0401,0.0417,0.0041,1.0232,0.0418,0.0111,0.1249,0.6667,0.1107,-0.0711,0,0,9.04e-06,warm-up
8,1.0378,0.0371,-0.0018,1.0212,0.0144,0.0111,0.1226,0.6111,0.1235,-0.1295,0,0,8.88e-06,warm-up
9,1.0353,0.0289,-0.0170,1.0219,0.0328,0.0000,0.1182,0.6111,0.0781,-0.0741,0,0,8.72e-06,warm-up
10,1.0354,0.0269,-0.0139,1.0226,0.0087,0.0000,0.1145,0.5000,0.0769,-0.0884,0,0,8.56e-06,warm-up
11,1.0318,0.0325,-0.0162,1.0230,-0.0138,0.0000,0.1171,0.2778,0.0751,-0.1570,0,0,8.40e-06,warm-up
12,1.0324,0.0329,-0.0077,1.0219,-0.0108,0.0000,0.1177,0.4444,0.0861,-0.1570,0,0,8.24e-06,warm-up
13,1.0324,0.0427,-0.0030,1.0215,-0.0021,0.0111,0.1158,0.3889,0.1195,-0.1956,0,0,8.08e-06,warm-up
14,1.0309,0.0351,-0.0071,1.0203,0.0066,0.0111,0.1197,0.4444,0.1238,-0.1492,0,0,7.92e-06,warm-up
15,1.0298,0.0333,-0.0054,1.0207,-0.0027,0.0111,0.1166,0.5556,0.1499,-0.2649,0,0,7.76e-06,warm-up
16,1.0283,0.0295,-0.0173,1.0207,0.0336,0.0667,0.1120,0.5000,0.2778,-0.4919,1,18,7.44e-06,追踪中
17,1.0257,0.0516,0.0075,1.0201,0.0159,0.0111,0.1171,0.5556,0.1263,-0.2174,2,18,7.28e-06,追踪中
18,1.0255,0.0382,-0.0118,1.0199,-0.0078,0.0111,0.1149,0.5556,0.1793,-0.3594,3,18,7.12e-06,追踪中
19,1.0232,0.0481,-0.0002,1.0199,0.0145,0.0556,0.1125,0.5556,0.2467,-0.5604,4,19,6.96e-06,追踪中
20,1.0242,0.0452,0.0038,1.0182,0.0019,0.0111,0.1187,0.5000,0.1582,-0.2378,5,19,6.80e-06,追踪中
21,1.0216,0.0375,-0.0098,1.0204,0.0229,0.0556,0.1122,0.5000,0.1953,-0.1703,6,19,6.64e-06,追踪中
22,1.0205,0.0524,0.0046,1.0183,0.0391,0.0444,0.1188,0.5556,0.1527,-0.2583,7,20,6.48e-06,追踪中
23,1.0222,0.0416,-0.0005,1.0168,0.0646,0.0667,0.1187,0.5000,0.2068,-0.3135,0,20,6.32e-06,★保存模型
24,1.0197,0.0479,0.0026,1.0164,0.0655,0.0778,0.1190,0.5000,0.2245,-0.1976,0,21,6.16e-06,★保存模型
25,1.0195,0.0512,0.0068,1.0175,0.0439,0.0778,0.1153,0.5556,0.2699,-0.4168,10,21,6.00e-06,追踪中
26,1.0182,0.0424,-0.0037,1.0159,0.0281,0.0778,0.1169,0.5000,0.2789,-0.4168,11,22,5.84e-06,追踪中
27,1.0175,0.0538,0.0064,1.0172,0.0631,0.0889,0.1155,0.5000,0.2630,-0.3568,12,22,5.68e-06,追踪中
28,1.0150,0.0472,-0.0016,1.0147,0.0809,0.0889,0.1176,0.5556,0.2760,-0.3135,0,23,5.52e-06,★保存模型
29,1.0139,0.0577,0.0083,1.0145,0.0714,0.0889,0.1193,0.6111,0.2551,-0.3135,0,23,5.36e-06,★保存模型
30,1.0139,0.0609,0.0100,1.0139,0.0789,0.0889,0.1222,0.5556,0.2731,-0.3135,0,24,5.20e-06,★保存模型
31,1.0133,0.0687,0.0254,1.0141,0.0675,0.0889,0.1200,0.5556,0.2988,-0.4168,0,25,5.04e-06,★保存模型
32,1.0129,0.0514,0.0010,1.0147,0.0713,0.0889,0.1166,0.6111,0.2981,-0.4168,0,25,4.88e-06,★保存模型
33,1.0117,0.0584,0.0104,1.0145,0.0806,0.0889,0.1164,0.5556,0.2927,-0.3048,0,26,4.72e-06,★保存模型
34,1.0120,0.0538,0.0031,1.0134,0.1015,0.0889,0.1158,0.6111,0.3095,-0.3048,0,27,4.56e-06,★保存模型
35,1.0094,0.0702,0.0265,1.0143,0.0763,0.0889,0.1173,0.6111,0.2679,-0.3135,1,27,4.40e-06,追踪中
36,1.0098,0.0471,-0.0003,1.0154,0.1075,0.0889,0.1108,0.5556,0.3047,-0.3044,0,28,4.24e-06,★最佳raw
37,1.0105,0.0667,0.0159,1.0148,0.0919,0.0889,0.1150,0.6111,0.2834,-0.3044,0,29,4.08e-06,★最佳smooth
38,1.0090,0.0626,0.0148,1.0146,0.0588,0.0778,0.1149,0.5556,0.3067,-0.4168,1,30,3.92e-06,追踪中
39,1.0069,0.0570,0.0033,1.0138,0.0704,0.0778,0.1170,0.6111,0.2765,-0.3044,2,31,3.76e-06,追踪中
40,1.0086,0.0582,0.0096,1.0153,0.0843,0.0889,0.1147,0.6111,0.2881,-0.3135,3,32,3.60e-06,追踪中
41,1.0077,0.0585,0.0135,1.0161,0.0712,0.0778,0.1117,0.6111,0.2814,-0.3135,4,33,3.44e-06,追踪中
42,1.0058,0.0749,0.0311,1.0153,0.0747,0.0778,0.1138,0.6111,0.2722,-0.3044,5,35,3.28e-06,追踪中
43,1.0052,0.0688,0.0208,1.0156,0.0889,0.0889,0.1114,0.6111,0.2884,-0.3135,6,36,3.12e-06,追踪中
44,1.0050,0.0740,0.0245,1.0149,0.0832,0.0889,0.1126,0.6111,0.2919,-0.3174,7,37,2.96e-06,追踪中
45,1.0042,0.0713,0.0230,1.0156,0.0850,0.0889,0.1116,0.6111,0.2880,-0.3174,8,39,2.80e-06,追踪中
46,1.0057,0.0662,0.0203,1.0149,0.0874,0.0889,0.1120,0.6111,0.2915,-0.3174,9,41,2.64e-06,追踪中
47,1.0043,0.0686,0.0212,1.0149,0.0790,0.0889,0.1133,0.5000,0.2894,-0.3174,10,43,2.48e-06,追踪中
48,1.0061,0.0543,0.0041,1.0157,0.0871,0.0889,0.1101,0.5556,0.2939,-0.3174,11,45,2.32e-06,追踪中
49,1.0032,0.0706,0.0120,1.0155,0.0592,0.0667,0.1106,0.5556,0.2665,-0.3044,12,47,2.16e-06,追踪中
50,1.0032,0.0715,0.0252,1.0164,0.0795,0.0778,0.1094,0.5556,0.2821,-0.3174,13,49,2.00e-06,跑满50轮
