trial,max_depth,learning_rate,subsample,min_child_weight,final_score,spearman_rho,topk_hit_rate,win_rate
1,4,0.03,0.6,1,0.031836,0.058656,0.015642,0.597765
2,4,0.03,0.6,5,-0.003907,0.043857,0.001117,0.418994
3,4,0.03,0.6,10,0.005677,0.040520,0.002235,0.469274
4,4,0.03,0.8,1,0.006745,0.037331,0.002235,0.458101
5,4,0.03,0.8,5,-0.003411,0.042396,0.002235,0.452514
6,4,0.03,0.8,10,0.004358,0.044269,0.002235,0.469274
7,4,0.05,0.6,1,-0.002715,0.039022,0.002235,0.474860
8,4,0.05,0.6,5,0.025936,0.047077,0.007821,0.569832
9,4,0.05,0.6,10,0.006063,0.044377,0.003352,0.508380
10,4,0.05,0.8,1,0.012522,0.042085,0.002235,0.463687
11,4,0.05,0.8,5,0.006222,0.047021,0.005587,0.508380
12,4,0.05,0.8,10,-0.002223,0.043693,0.002235,0.463687
13,4,0.1,0.6,1,-0.001267,0.047030,0.002235,0.463687
14,4,0.1,0.6,5,0.007734,0.048233,0.006704,0.491620
15,4,0.1,0.6,10,-0.001655,0.046546,0.005587,0.469274
16,4,0.1,0.8,1,-0.001134,0.047343,0.002235,0.491620
17,4,0.1,0.8,5,0.008936,0.050804,0.005587,0.519553
18,4,0.1,0.8,10,0.006754,0.055369,0.007821,0.491620
19,6,0.03,0.6,1,0.023052,0.049741,0.007821,0.564246
20,6,0.03,0.6,5,0.014881,0.053384,0.005587,0.508380
21,6,0.03,0.6,10,0.017938,0.044229,0.008939,0.508380
22,6,0.03,0.8,1,0.016346,0.044372,0.005587,0.513966
23,6,0.03,0.8,5,-0.006796,0.054656,0.001117,0.407821
24,6,0.03,0.8,10,-0.004665,0.049141,0.001117,0.407821
25,6,0.05,0.6,1,-0.009541,0.044726,0.003352,0.407821
26,6,0.05,0.6,5,0.015327,0.052927,0.008939,0.525140
27,6,0.05,0.6,10,0.021004,0.053530,0.005587,0.530726
28,6,0.05,0.8,1,0.011294,0.043860,0.010056,0.486034
29,6,0.05,0.8,5,0.016312,0.048532,0.005587,0.530726
30,6,0.05,0.8,10,0.010230,0.053343,0.005587,0.519553
31,6,0.1,0.6,1,-0.002894,0.048365,0.007821,0.486034
32,6,0.1,0.6,5,0.019932,0.049431,0.015642,0.497207
33,6,0.1,0.6,10,0.001254,0.048013,0.014525,0.469274
34,6,0.1,0.8,1,0.009500,0.054093,0.013408,0.502793
35,6,0.1,0.8,5,0.027507,0.052373,0.018994,0.564246
36,6,0.1,0.8,10,0.012512,0.051992,0.011173,0.513966
37,8,0.03,0.6,1,0.018351,0.055049,0.010056,0.536313
38,8,0.03,0.6,5,0.016416,0.039861,0.015642,0.519553
39,8,0.03,0.6,10,0.048164,0.048124,0.020112,0.592179
40,8,0.03,0.8,1,0.028021,0.056484,0.013408,0.519553
41,8,0.03,0.8,5,0.015707,0.052007,0.011173,0.513966
42,8,0.03,0.8,10,-0.000746,0.043763,0.002235,0.452514
43,8,0.05,0.6,1,-0.000581,0.041429,0.002235,0.458101
44,8,0.05,0.6,5,0.031658,0.047991,0.015642,0.525140
45,8,0.05,0.6,10,0.010133,0.043998,0.008939,0.486034
46,8,0.05,0.8,1,0.007959,0.056728,0.007821,0.502793
47,8,0.05,0.8,5,0.026753,0.054204,0.011173,0.553073
48,8,0.05,0.8,10,0.000028,0.047286,0.002235,0.469274
49,8,0.1,0.6,1,-0.000405,0.048334,0.003352,0.441341
50,8,0.1,0.6,5,0.016398,0.040177,0.027933,0.564246
51,8,0.1,0.6,10,0.007364,0.046958,0.015642,0.486034
52,8,0.1,0.8,1,0.019854,0.044756,0.016760,0.536313
53,8,0.1,0.8,5,0.009650,0.041644,0.020112,0.513966
54,8,0.1,0.8,10,0.010331,0.054644,0.007821,0.497207
